row_no,sent_id,sentence,STARK Number of nodes,SyntComplex # tokens,nodes match?,STARK MDD,SyntComplex MDD raw,SyntComplex MDD rounded like STARK,MDD match?,STARK NDD,SyntComplex NDD raw,SyntComplex NDD rounded like STARK,NDD match?,STARK Max depth,SyntComplex MAXIMUM_TREE_DEPTH,Max depth match?,STARK N clauses,SyntComplex # clauses,N clauses match?,STARK N T-units,SyntComplex # T-units,N T-units match?,STARK Clauses/T-unit,SyntComplex Clauses/T-unit raw,SyntComplex Clauses/T-unit rounded like STARK,Clauses/T-unit match?,STARK example,STARK tree,mismatch note
242,ssj502.2664.9527,"Mali Postojnčan je namreč sin Roka Cvetkova, enega izmed najboljših kaskaderjev na svetu.",15,15,yes,1.75,1.75,1.75,yes,1.49,1.4875564931756278,1.49,yes,6,6,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Mali] B[Postojnčan] C[je] D[namreč] E[sin] F[Roka] G[Cvetkova]H[,] I[enega] J[izmed] K[najboljših] L[kaskaderjev] M[na] N[svetu]O[.] ","(Mali <amod Postojnčan) <nsubj je <cop namreč <advmod sin >nmod (Roka >flat Cvetkova >appos (, <punct enega >nmod (izmed <case najboljših <amod kaskaderjev >nmod (na <case svetu)))) >punct .",
243,ssj502.2665.9528,"Ko se modni oblikovalci trudijo zaznati razpoloženje sodobnega porabnika, ugotavljajo, da je vse bolj dovzeten za nenavadno sestavljanje posameznih kosov oblačil, ki se kljub očitni različnosti zlivajo v harmonično podobo.",34,34,yes,2.45,2.4482758620689653,2.45,yes,1.99,1.9872115043375809,1.99,yes,8,8,yes,5.00,5,yes,1.00,1,yes,5.00,5.0,5.00,yes,"A[Ko] B[se] C[modni] D[oblikovalci] E[trudijo] F[zaznati] G[razpoloženje] H[sodobnega] I[porabnika]J[,] K[ugotavljajo]L[,] M[da] N[je] O[vse] P[bolj] Q[dovzeten] R[za] S[nenavadno] T[sestavljanje] U[posameznih] V[kosov] W[oblačil]X[,] Y[ki] Z[se] A[kljub] B[očitni] C[različnosti] D[zlivajo] E[v] F[harmonično] G[podobo]H[.] ","(Ko <mark se <expl (modni <amod oblikovalci) <nsubj trudijo >xcomp (zaznati >obj (razpoloženje >nmod (sodobnega <amod porabnika))) >punct ,) <advcl ugotavljajo >ccomp (, <punct da <mark je <cop (vse <advmod bolj) <advmod dovzeten >obl (za <case nenavadno <amod sestavljanje >nmod (posameznih <amod kosov >nmod (oblačil >acl (, <punct ki <mark se <expl (kljub <case očitni <amod različnosti) <obl zlivajo >obl (v <case harmonično <amod podobo)))))) >punct .",
244,ssj502.2666.9529,"Starši lahko s pobotanjem otroku pokažejo, da življenje ni ena sama idila",13,13,yes,3.18,3.1818181818181817,3.18,yes,0.94,0.9373745823221697,0.94,yes,3,3,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Starši] B[lahko] C[s] D[pobotanjem] E[otroku] F[pokažejo]G[,] H[da] I[življenje] J[ni] K[ena] L[sama] M[idila] ","Starši <nsubj lahko <advmod (s <case pobotanjem) <obl otroku <iobj pokažejo >ccomp (, <punct da <mark življenje <nsubj ni <cop ena <nummod sama <amod idila)",
245,ssj502.2667.9530,"O čipih pri domačih živalih se večkrat bere v dnevnem časopisju, o označevanjih s čipi oziroma mikročipi pri plazilcih pa podatkov tudi mi nismo veliko zasledili.",28,28,yes,3.44,3.44,3.44,yes,1.41,1.4136872118887114,1.41,yes,6,6,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,"A[O] B[čipih] C[pri] D[domačih] E[živalih] F[se] G[večkrat] H[bere] I[v] J[dnevnem] K[časopisju]L[,] M[o] N[označevanjih] O[s] P[čipi] Q[oziroma] R[mikročipi] S[pri] T[plazilcih] U[pa] V[podatkov] W[tudi] X[mi] Y[nismo] Z[veliko] A[zasledili]B[.] ","(O <case čipih >nmod (pri <case domačih <amod živalih)) <obl se <expl večkrat <advmod bere >obl (v <case dnevnem <amod časopisju) >parataxis (, <punct (o <case označevanjih >nmod (s <case čipi >conj (oziroma <cc mikročipi)) >nmod (pri <case plazilcih)) <obl pa <advmod podatkov <obj (tudi <advmod mi) <nsubj nismo <aux veliko <advmod zasledili) >punct .",
246,ssj502.2667.9531,"V EU, pa tako tudi v Nemčiji, kot vi omenjate, se to izvaja in je zakonsko predpisano.",21,21,yes,3.19,3.1875,3.19,yes,1.61,1.6133518117552368,1.61,yes,4,4,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[V] B[EU]C[,] D[pa] E[tako] F[tudi] G[v] H[Nemčiji]I[,] J[kot] K[vi] L[omenjate]M[,] N[se] O[to] P[izvaja] Q[in] R[je] S[zakonsko] T[predpisano]U[.] ","(V <case EU >conj (, <punct pa <cc tako <advmod tudi <advmod v <case Nemčiji)) <obl (, <punct kot <mark vi <nsubj omenjate >punct ,) <advcl se <expl to <nsubj izvaja >conj (in <cc je <cop zakonsko <advmod predpisano) >punct .",
247,ssj502.2667.9532,"Kolikor vem, pa imajo tudi v EU še vedno težave z mikročipi.",14,14,yes,2.64,2.6363636363636362,2.64,yes,0.58,0.5761206694910547,0.58,yes,5,5,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,"A[Kolikor] B[vem]C[,] D[pa] E[imajo] F[tudi] G[v] H[EU] I[še] J[vedno] K[težave] L[z] M[mikročipi]N[.] ","Kolikor <mark vem >parataxis (, <punct pa <advmod imajo >obl (tudi <advmod v <case EU) >advmod še >advmod vedno >obj (težave >nmod (z <case mikročipi))) >punct .",
248,ssj502.2667.9533,"Po eni strani ugotavljajo, da se mikročip, ki ga npr. apliciramo (razmeroma preprosto ""kot z injekcijo"") pri plazilcih (legvanih, želvah, kuščarjih, gekonih) večinoma v podkožje vratu, rad izmakne v soseščino tkiv - potuje, po drugi strani pa imajo težave s čitalci za posamezne vrste mikročipov.",59,59,yes,7.14,7.1395348837209305,7.14,yes,0.61,0.6080996065130918,0.61,yes,8,8,yes,5.00,5,yes,3.00,3,yes,1.67,1.6666666666666667,1.67,yes,"A[Po] B[eni] C[strani] D[ugotavljajo]E[,] F[da] G[se] H[mikročip]I[,] J[ki] K[ga] L[npr.] M[apliciramo] N[(]O[razmeroma] P[preprosto] Q[""]R[kot] S[z] T[injekcijo]U[""]V[)] W[pri] X[plazilcih] Y[(]Z[legvanih]A[,] B[želvah]C[,] D[kuščarjih]E[,] F[gekonih]G[)] H[večinoma] I[v] J[podkožje] K[vratu]L[,] M[rad] N[izmakne] O[v] P[soseščino] Q[tkiv] R[-] S[potuje]T[,] U[po] V[drugi] W[strani] X[pa] Y[imajo] Z[težave] A[s] B[čitalci] C[za] D[posamezne] E[vrste] F[mikročipov]G[.] ","(Po <case eni <nummod strani) <obl ugotavljajo >ccomp (, <punct da <mark se <expl (mikročip >acl (, <punct ki <mark ga <obj npr. <dep apliciramo >advmod (( <punct razmeroma <advmod preprosto >obl ("" <punct kot <case z <case injekcijo >punct "") >punct )) >obl (pri <case plazilcih >appos (( <punct legvanih >conj (, <punct želvah) >conj (, <punct kuščarjih) >conj (, <punct gekonih) >punct ))) >advmod večinoma >obl (v <case podkožje >nmod vratu) >punct ,)) <nsubj rad <advmod izmakne >obl (v <case soseščino >nmod tkiv) >parataxis (- <punct potuje)) >parataxis (, <punct (po <case drugi <amod strani) <obl pa <advmod imajo >obj (težave >nmod (s <case čitalci >nmod (za <case posamezne <amod vrste >nmod mikročipov)))) >punct .",
249,ssj502.2667.9534,Nekaj takih univerzalnih čitalcev (cena za enega je menda le okrog 20000 SIT) je pri nas že.,20,20,yes,3.00,3.0,3.00,yes,1.67,1.6739764335716716,1.67,yes,5,5,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,A[Nekaj] B[takih] C[univerzalnih] D[čitalcev] E[(]F[cena] G[za] H[enega] I[je] J[menda] K[le] L[okrog] M[20000] N[SIT]O[)] P[je] Q[pri] R[nas] S[že]T[.] ,(Nekaj <det takih <det univerzalnih <amod čitalcev) <nsubj (( <punct (cena >nmod (za <case enega)) <nsubj je >advmod menda >obl (le <advmod (okrog <advmod 20000) <nummod SIT) >punct )) <parataxis je >obl (pri <case nas) >advmod že >punct .,
250,ssj503.2668.9535,"Uradna spletna stran rock skupine iz Škofje Loke je profesionalno oblikovana in vizualno zelo privlačna v duhu starih fotografij, tako da imamo občutek, kot bi stali pred zaprašeno oglasno desko ali listali po babičini arhivski knjigi.",39,39,yes,2.54,2.5428571428571427,2.54,yes,2.04,2.0433333589011657,2.04,yes,7,7,yes,4.00,4,yes,3.00,3,yes,1.33,1.3333333333333333,1.33,yes,"A[Uradna] B[spletna] C[stran] D[rock] E[skupine] F[iz] G[Škofje] H[Loke] I[je] J[profesionalno] K[oblikovana] L[in] M[vizualno] N[zelo] O[privlačna] P[v] Q[duhu] R[starih] S[fotografij]T[,] U[tako] V[da] W[imamo] X[občutek]Y[,] Z[kot] A[bi] B[stali] C[pred] D[zaprašeno] E[oglasno] F[desko] G[ali] H[listali] I[po] J[babičini] K[arhivski] L[knjigi]M[.] ","(Uradna <amod spletna <amod stran >nmod (rock <nmod skupine >nmod (iz <case Škofje <amod Loke))) <nsubj je <cop profesionalno <advmod oblikovana >conj (in <cc vizualno <advmod zelo <advmod privlačna >nmod (v <case duhu >nmod (starih <amod fotografij))) >conj (, <punct (tako >fixed da) <cc imamo >obj (občutek >acl (, <punct kot <mark bi <aux stali >obl (pred <case zaprašeno <amod oglasno <amod desko) >conj (ali <cc listali >obl (po <case babičini <amod arhivski <amod knjigi))))) >punct .",
251,ssj503.2668.9536,"Poleg novic, koncertov in slik posebej priporočam poslušanje osmih demo komadov, ki vas bodo prepričali, da fantje dobro žagajo.",23,23,yes,2.44,2.4444444444444446,2.44,yes,1.59,1.5910887737659039,1.59,yes,6,6,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Poleg] B[novic]C[,] D[koncertov] E[in] F[slik] G[posebej] H[priporočam] I[poslušanje] J[osmih] K[demo] L[komadov]M[,] N[ki] O[vas] P[bodo] Q[prepričali]R[,] S[da] T[fantje] U[dobro] V[žagajo]W[.] ","(Poleg <case novic >conj (, <punct koncertov) >conj (in <cc slik)) <obl posebej <advmod priporočam >obj (poslušanje >nmod (osmih <nummod demo <nmod komadov >acl (, <punct ki <mark vas <iobj bodo <aux prepričali >ccomp (, <punct da <mark fantje <nsubj dobro <advmod žagajo)))) >punct .",
252,ssj503.2668.9537,"Nedvomno ena boljših uradnih strani slovenske glasbene skupine, kar sem jih videl.",14,14,yes,2.73,2.727272727272727,2.73,yes,1.00,1.0003644837524506,1.00,yes,3,3,yes,2.00,2,yes,1.00,1,yes,2.00,2.0,2.00,yes,"A[Nedvomno] B[ena] C[boljših] D[uradnih] E[strani] F[slovenske] G[glasbene] H[skupine]I[,] J[kar] K[sem] L[jih] M[videl]N[.] ","Nedvomno <orphan ena <nummod boljših <amod uradnih <amod strani >nmod (slovenske <amod glasbene <amod skupine) >acl (, <punct kar <iobj sem <aux jih <obj videl) >punct .",
253,ssj503.2669.9538,Simpatična uradna stran z nekaj prav zanimivimi rubrikami.,9,9,yes,2.43,2.4285714285714284,2.43,yes,0.63,0.6349580238608088,0.63,yes,4,4,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Simpatična] B[uradna] C[stran] D[z] E[nekaj] F[prav] G[zanimivimi] H[rubrikami]I[.] ,Simpatična <amod uradna <amod stran >nmod (z <case nekaj <det (prav <advmod zanimivimi) <amod rubrikami) >punct .,
254,ssj503.2669.9539,"Avtorji se standardni vsebini niso pretirano posvečali, čeprav to ne pomeni, da ni podatkov o zakulisju snemanja, ekipi in igralcih.",24,24,yes,2.47,2.473684210526316,2.47,yes,1.54,1.5394659415672587,1.54,yes,7,7,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Avtorji] B[se] C[standardni] D[vsebini] E[niso] F[pretirano] G[posvečali]H[,] I[čeprav] J[to] K[ne] L[pomeni]M[,] N[da] O[ni] P[podatkov] Q[o] R[zakulisju] S[snemanja]T[,] U[ekipi] V[in] W[igralcih]X[.] ","Avtorji <nsubj se <expl (standardni <amod vsebini) <obj niso <aux pretirano <advmod posvečali >advcl (, <punct čeprav <mark to <nsubj ne <advmod pomeni >ccomp (, <punct da <mark ni >nsubj (podatkov >nmod (o <case zakulisju >nmod snemanja >conj (, <punct ekipi) >conj (in <cc igralcih))))) >punct .",
255,ssj503.2669.9540,"Poleg množice fotografij, odlomkov skladb iz zgoščenke s filmsko glasbo in Quick Time napovednika je tu še vrsta kratkih video intervjujev z glavnimi igralci in režiserko.",28,28,yes,2.72,2.72,2.72,yes,2.00,1.995100393246085,2.00,yes,7,7,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Poleg] B[množice] C[fotografij]D[,] E[odlomkov] F[skladb] G[iz] H[zgoščenke] I[s] J[filmsko] K[glasbo] L[in] M[Quick] N[Time] O[napovednika] P[je] Q[tu] R[še] S[vrsta] T[kratkih] U[video] V[intervjujev] W[z] X[glavnimi] Y[igralci] Z[in] A[režiserko]B[.] ","(Poleg <case množice >nmod fotografij >conj (, <punct odlomkov >nmod (skladb >nmod (iz <case zgoščenke >nmod (s <case filmsko <amod glasbo)))) >conj (in <cc (Quick >nmod Time) <nmod napovednika)) <obl je >advmod tu >nsubj (še <advmod vrsta >nmod (kratkih <amod video <nmod intervjujev >nmod (z <case glavnimi <amod igralci >conj (in <cc režiserko)))) >punct .",
256,ssj503.2669.9541,"Marisa Tomei tako denimo odgovori na vprašanje, česa si želijo ženske.; -)",16,16,yes,1.90,1.9,1.90,yes,1.31,1.3141576165416782,1.31,yes,4,4,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Marisa] B[Tomei] C[tako] D[denimo] E[odgovori] F[na] G[vprašanje]H[,] I[česa] J[si] K[želijo] L[ženske]M[.]N[;] O[-]P[)] ","(Marisa >flat Tomei) <nsubj tako <advmod denimo <parataxis odgovori >obl (na <case vprašanje >acl (, <punct česa <obj si <expl želijo >nsubj ženske)) >punct . >punct ; >punct - >punct )",
257,ssj503.2669.9542,Najbolj zanimivi pa so nasveti moškim o ženskah.,9,9,yes,1.57,1.5714285714285714,1.57,yes,0.87,0.867543541064572,0.87,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Najbolj] B[zanimivi] C[pa] D[so] E[nasveti] F[moškim] G[o] H[ženskah]I[.] ,Najbolj <advmod zanimivi >advmod pa >cop so >nsubj (nasveti >nmod (moškim >nmod (o <case ženskah))) >punct .,
258,ssj503.2669.9543,"Rezultati ankete na 25 tisoč spletnih obiskovalcev je razkrilo navade in poglede na razmerja, kariero, spolnost in o samih seboj.",23,23,yes,2.68,2.6842105263157894,2.68,yes,1.58,1.5834451246934447,1.58,yes,6,6,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[Rezultati] B[ankete] C[na] D[25] E[tisoč] F[spletnih] G[obiskovalcev] H[je] I[razkrilo] J[navade] K[in] L[poglede] M[na] N[razmerja]O[,] P[kariero]Q[,] R[spolnost] S[in] T[o] U[samih] V[seboj]W[.] ","(Rezultati >nmod (ankete >nmod (na <case (25 >flat tisoč) <nummod spletnih <amod obiskovalcev))) <nsubj je <aux razkrilo >obj (navade >conj (in <cc poglede >nmod (na <case razmerja >conj (, <punct kariero) >conj (, <punct spolnost) >conj (in <cc o <case samih <amod seboj)))) >punct .",
259,ssj503.2669.9544,"Pri drugem pa so našteti tudi namigi, ki jih dekleta ovrednotijo in s tem fantom pomagajo bolje razumeti, kaj si res želijo oziroma katere stvari se jim zdijo pomembne.",32,32,yes,2.39,2.392857142857143,2.39,yes,1.60,1.59833310208889,1.60,yes,9,9,yes,6.00,6,yes,3.00,3,yes,2.00,2.0,2.00,yes,"A[Pri] B[drugem] C[pa] D[so] E[našteti] F[tudi] G[namigi]H[,] I[ki] J[jih] K[dekleta] L[ovrednotijo] M[in] N[s] O[tem] P[fantom] Q[pomagajo] R[bolje] S[razumeti]T[,] U[kaj] V[si] W[res] X[želijo] Y[oziroma] Z[katere] A[stvari] B[se] C[jim] D[zdijo] E[pomembne]F[.] ","(Pri <case drugem) <obl pa <advmod so <cop našteti >advmod tudi >nsubj (namigi >acl (, <punct ki <mark jih <obj dekleta <nsubj ovrednotijo >conj (in <cc (s <case tem) <obl fantom <iobj pomagajo >xcomp (bolje <advmod razumeti >ccomp (, <punct kaj <obj si <expl res <advmod želijo >conj (oziroma <cc (katere <det stvari) <nsubj se <expl jim <obj zdijo >xcomp pomembne)))))) >punct .",
260,ssj503.2669.9545,"Ne spreglejte tudi peščico primerov, kaj ženske v resnici mislijo, kadar rečejo...",17,17,yes,2.18,2.1818181818181817,2.18,yes,0.77,0.765362669129583,0.77,yes,6,6,yes,3.00,3,yes,1.00,1,yes,3.00,3.0,3.00,yes,"A[Ne] B[spreglejte] C[tudi] D[peščico] E[primerov]F[,] G[kaj] H[ženske] I[v] J[resnici] K[mislijo]L[,] M[kadar] N[rečejo]O[.]P[.]Q[.] ","Ne <advmod spreglejte >advmod tudi >obj (peščico >nmod (primerov >acl (, <punct kaj <obj ženske <nsubj (v <case resnici) <obl mislijo >advcl (, <punct kadar <mark rečejo)))) >punct . >punct . >punct .",
261,ssj504.2670.9546,Od 1. julija plačujemo pri uvozu DDV po dveh stopnjah: 8- in 19-odstotni,17,17,yes,2.38,2.3846153846153846,2.38,yes,1.11,1.1065840122671042,1.11,yes,5,5,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,A[Od] B[1.] C[julija] D[plačujemo] E[pri] F[uvozu] G[DDV] H[po] I[dveh] J[stopnjah]K[:] L[8]M[-] N[in] O[19]P[-]Q[odstotni] ,(Od <case 1. <nummod julija) <obl plačujemo >obl (pri <case uvozu) >obj DDV >obl (po <case dveh <nummod stopnjah >appos (: <punct 8 >punct - >conj (in <cc 19 <nummod - <punct odstotni))),
262,ssj504.2671.9547,"Veterinarji Veterinarske bolnice Maribor, d. o. o., Šentiljska cesta 109, za velike živali, so dosegljivi na številki 228-37, nočno dežurstvo na številki 0609 638-781; veterinarji, specializirani za male živali, so dosegljivi na številki 22-837, nočno dežurstvo na 0609 656-320, v ambulanti Hoče 611-801 in v veterinarski posvetovalnici na telefonski številki 211-244.",74,74,yes,3.57,3.5714285714285716,3.57,yes,2.21,2.2119296591379074,2.21,yes,7,7,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,"A[Veterinarji] B[Veterinarske] C[bolnice] D[Maribor]E[,] F[d.] G[o.] H[o.]I[,] J[Šentiljska] K[cesta] L[109]M[,] N[za] O[velike] P[živali]Q[,] R[so] S[dosegljivi] T[na] U[številki] V[228]W[-]X[37]Y[,] Z[nočno] A[dežurstvo] B[na] C[številki] D[0609] E[638]F[-]G[781]H[;] I[veterinarji]J[,] K[specializirani] L[za] M[male] N[živali]O[,] P[so] Q[dosegljivi] R[na] S[številki] T[22]U[-]V[837]W[,] X[nočno] Y[dežurstvo] Z[na] A[0609] B[656]C[-]D[320]E[,] F[v] G[ambulanti] H[Hoče] I[611]J[-]K[801] L[in] M[v] N[veterinarski] O[posvetovalnici] P[na] Q[telefonski] R[številki] S[211]T[-]U[244]V[.] ","(Veterinarji >nmod (Veterinarske <amod bolnice >nmod Maribor >nmod (, <punct d. >fixed o. >fixed o.) >list (, <punct Šentiljska <amod cesta >nummod 109) >nmod (, <punct za <case velike <amod živali >punct ,))) <nsubj so <cop dosegljivi >obl (na <case številki >nummod (228 >conj (- <punct 37))) >parataxis (, <punct nočno <amod dežurstvo >orphan (na <case številki >nummod (0609 >flat (638 >conj (- <punct 781))))) >parataxis (; <punct (veterinarji >amod (, <punct specializirani >nmod (za <case male <amod živali) >punct ,)) <nsubj so <cop dosegljivi >obl (na <case številki >nummod (22 >conj (- <punct 837))) >conj (, <punct nočno <amod dežurstvo >orphan (na <case 0609 >flat (656 >conj (- <punct 320)))) >conj (, <punct v <case ambulanti >nmod Hoče >orphan (611 >conj (- <punct 801))) >conj (in <cc v <case veterinarski <amod posvetovalnici >orphan (na <case telefonski <amod številki >nummod (211 >conj (- <punct 244))))) >punct .",
263,ssj504.2672.9548,"Bleda in drobcena sedi ob mizi na zanjo kar prevelikem in neudobnem stolu in ubada iglo s črno nitjo v stramin, kamor je prej Branko zarisal žalostnega klovna.",30,30,yes,2.89,2.888888888888889,2.89,yes,1.28,1.2801936528768472,1.28,yes,6,6,yes,3.00,3,yes,2.00,2,yes,1.50,1.5,1.50,yes,"A[Bleda] B[in] C[drobcena] D[sedi] E[ob] F[mizi] G[na] H[zanjo] I[kar] J[prevelikem] K[in] L[neudobnem] M[stolu] N[in] O[ubada] P[iglo] Q[s] R[črno] S[nitjo] T[v] U[stramin]V[,] W[kamor] X[je] Y[prej] Z[Branko] A[zarisal] B[žalostnega] C[klovna]D[.] ","(Bleda >conj (in <cc drobcena)) <advcl sedi >obl (ob <case mizi) >obl (na <case (zanjo <nmod kar <advmod prevelikem >conj (in <cc neudobnem)) <amod stolu) >conj (in <cc ubada >obj (iglo >nmod (s <case črno <amod nitjo)) >obl (v <case stramin >acl (, <punct kamor <mark je <aux prej <advmod Branko <nsubj zarisal >obj (žalostnega <amod klovna)))) >punct .",
264,ssj504.2672.9549,"Sandi je ne more pustiti pri miru in ji z zavistjo in v zadregi oporeka Ameriko: ""Kaj boš važna, ti, ki greš v Ameriko!",29,29,yes,3.30,3.3043478260869565,3.30,yes,1.07,1.0656551641673386,1.07,yes,6,6,yes,5.00,5,yes,3.00,3,yes,1.67,1.6666666666666667,1.67,yes,"A[Sandi] B[je] C[ne] D[more] E[pustiti] F[pri] G[miru] H[in] I[ji] J[z] K[zavistjo] L[in] M[v] N[zadregi] O[oporeka] P[Ameriko]Q[:] R[""]S[Kaj] T[boš] U[važna]V[,] W[ti]X[,] Y[ki] Z[greš] A[v] B[Ameriko]C[!] ","Sandi <nsubj ne <advmod more >xcomp (je <obj pustiti >obl (pri <case miru)) >conj (in <cc ji <iobj (z <case zavistjo >conj (in <cc v <case zadregi)) <obl oporeka >obj Ameriko) >parataxis (: <punct "" <punct Kaj <advmod boš <cop važna >vocative (, <punct ti >acl (, <punct ki <mark greš >obl (v <case Ameriko))) >punct !)",
265,ssj504.2672.9550,""" Ona pa je, še bolj tiha in še bolj bleda in za spoznanje drobnejša, sklonjena nad delom.",21,21,yes,4.88,4.875,4.88,yes,1.25,1.2473601356181623,1.25,yes,6,6,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[""] B[Ona] C[pa] D[je]E[,] F[še] G[bolj] H[tiha] I[in] J[še] K[bolj] L[bleda] M[in] N[za] O[spoznanje] P[drobnejša]Q[,] R[sklonjena] S[nad] T[delom]U[.] ",""" <punct (Ona >acl (, <punct (še <advmod bolj) <advmod tiha >conj (in <cc (še <advmod bolj) <advmod bleda) >conj (in <cc (za <case spoznanje) <nmod drobnejša) >punct ,)) <nsubj pa <advmod je <cop sklonjena >obl (nad <case delom) >punct .",
266,ssj504.2673.9551,"Vladimir Rudl: ""Petletni program Phare za obdobje 1995-99 se bo letos iztekel, pripravljen je nov program za obdobje 2000-2004...",29,29,yes,2.70,2.7,2.70,yes,1.89,1.8909087248866028,1.89,yes,7,7,yes,2.00,2,yes,2.00,2,yes,1.00,1.0,1.00,yes,"A[Vladimir] B[Rudl]C[:] D[""]E[Petletni] F[program] G[Phare] H[za] I[obdobje] J[1995]K[-]L[99] M[se] N[bo] O[letos] P[iztekel]Q[,] R[pripravljen] S[je] T[nov] U[program] V[za] W[obdobje] X[2000]Y[-]Z[2004]A[.]B[.]C[.] ","(Vladimir >flat Rudl >punct :) <parataxis "" <punct (Petletni <amod program >nmod Phare >nmod (za <case obdobje >nummod (1995 >conj (- <punct 99)))) <nsubj se <expl bo <aux letos <advmod iztekel >parataxis (, <punct pripravljen >cop je >nsubj (nov <amod program >nmod (za <case obdobje >nummod (2000 >conj (- <punct 2004))))) >punct . >punct . >punct .",
267,ssj504.2673.9552,""" Na voljo naj bi bilo milijon ekujev.",9,9,yes,1.50,1.5,1.50,yes,1.39,1.3862943611198906,1.39,yes,3,3,yes,1.00,1,yes,1.00,1,yes,1.00,1.0,1.00,yes,"A[""] B[Na] C[voljo] D[naj] E[bi] F[bilo] G[milijon] H[ekujev]I[.] ",""" <punct (Na <case voljo) <obl naj <advmod bi <aux bilo >nsubj (milijon >nmod ekujev) >punct .",
268,ssj504.2674.9553,"""V predstavah na prostem moramo seveda upoštevati ambient celjskega Starega gradu, na eni strani se je mogoče odločiti za Celjske kronike, na drugi strani pa za svetovne dramatike, Shakespeara na primer, in prav Sen kresne noči se mi je zdel najprimernejši,"" pravi umetniški vodja SLG Matija Logar, ki je po uspeli režiji predstave Hiša iz kart v SLG Celje k ponovnemu sodelovanju povabil mladega režiserja Aleša Novaka, naj na celjski oder prvič postavi to v svetu in pri nas priljubljeno Shakespearovo komedijo o ljubezni.",94,94,yes,3.70,3.6987951807228914,3.70,yes,1.80,1.7972928987217272,1.80,yes,11,11,yes,8.00,8,yes,4.00,4,yes,2.00,2.0,2.00,yes,"A[""]B[V] C[predstavah] D[na] E[prostem] F[moramo] G[seveda] H[upoštevati] I[ambient] J[celjskega] K[Starega] L[gradu]M[,] N[na] O[eni] P[strani] Q[se] R[je] S[mogoče] T[odločiti] U[za] V[Celjske] W[kronike]X[,] Y[na] Z[drugi] A[strani] B[pa] C[za] D[svetovne] E[dramatike]F[,] G[Shakespeara] H[na] I[primer]J[,] K[in] L[prav] M[Sen] N[kresne] O[noči] P[se] Q[mi] R[je] S[zdel] T[najprimernejši]U[,]V[""] W[pravi] X[umetniški] Y[vodja] Z[SLG] A[Matija] B[Logar]C[,] D[ki] E[je] F[po] G[uspeli] H[režiji] I[predstave] J[Hiša] K[iz] L[kart] M[v] N[SLG] O[Celje] P[k] Q[ponovnemu] R[sodelovanju] S[povabil] T[mladega] U[režiserja] V[Aleša] W[Novaka]X[,] Y[naj] Z[na] A[celjski] B[oder] C[prvič] D[postavi] E[to] F[v] G[svetu] H[in] I[pri] J[nas] K[priljubljeno] L[Shakespearovo] M[komedijo] N[o] O[ljubezni]P[.] ",""" <punct moramo >advmod seveda >xcomp ((V <case predstavah >nmod (na <case prostem)) <obl upoštevati >obj (ambient >nmod (celjskega <amod Starega <amod gradu))) >parataxis (, <punct je <cop mogoče >csubj ((na <case eni <nummod strani) <obl se <expl odločiti >obl (za <case Celjske <amod kronike)) >parataxis (, <punct (na <case drugi <amod strani) <orphan pa <orphan za <case svetovne <amod dramatike >appos (, <punct Shakespeara >advmod (na >fixed primer) >punct ,) >conj (in <cc (prav <advmod Sen >nmod (kresne <amod noči)) <nsubj se <expl mi <obj je <aux zdel >xcomp najprimernejši))) >punct , >punct "" >parataxis (pravi >nsubj (umetniški <amod vodja >nmod SLG >nmod (Matija >flat Logar >acl (, <punct ki <mark je <aux (po <case uspeli <amod režiji >nmod (predstave >nmod (Hiša >nmod (iz <case kart))) >nmod (v <case SLG >nmod Celje)) <obl (k <case ponovnemu <amod sodelovanju) <obl povabil >iobj (mladega <amod režiserja >nmod (Aleša >flat Novaka)) >ccomp (, <punct naj <mark (na <case celjski <amod oder) <obl prvič <advmod postavi >obj (to <det ((v <case svetu >conj (in <cc pri <case nas)) <nmod priljubljeno) <amod Shakespearovo <amod komedijo >nmod (o <case ljubezni))))))) >punct .",
