Tree	Absolute frequency	Relative frequency	Order	Number of nodes	Head node	Example	MDD	NDD	Max depth	N clauses	N T-units	Clauses/T-unit
(Na <case vprašanje >acl (, <punct ali <mark bo <aux Slovenija <nsubj (na <case vrhu >nmod Nata >nmod novembra >nmod (v <case Pragi)) <obl dobila >obj (povabilo >nmod (za <case vstop)) >punct ,)) <obl je <aux pritrdilno <advmod odgovorilo >nsubj (dobrih <amod 42 <nummod odstotkov) >parataxis ((, <punct da <mark Slovenija <nsubj ne <advmod bo <cop povabljena >obl (v <case Nato) >punct ,) <ccomp pa <advmod je <aux menilo >nsubj (32 <nummod odstotkov >nmod anketirancev)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM	39	odgovorilo	A[Na] B[vprašanje]C[,] D[ali] E[bo] F[Slovenija] G[na] H[vrhu] I[Nata] J[novembra] K[v] L[Pragi] M[dobila] N[povabilo] O[za] P[vstop]Q[,] R[je] S[pritrdilno] T[odgovorilo] U[dobrih] V[42] W[odstotkov]X[,] Y[da] Z[Slovenija] A[ne] B[bo] C[povabljena] D[v] E[Nato]F[,] G[pa] H[je] I[menilo] J[32] K[odstotkov] L[anketirancev]M[.] 	3.70	1.94	6	4.00	2.00	2.00
(Na <case vprašanje >acl (, <punct ali <mark ne <advmod bi <aux bilo >advmod (bolje >advcl (, <punct (kot >fixed pa >fixed da) <mark jo <obj (( <punct vključno >conj (ali <cc na <case čelu >nmod (z <case uradom >nmod (predsednika >nmod vlade))) >punct )) <advmod krši >punct ,)) >csubj (, <punct da <mark vlada <nsubj uredbo <obj spremeni))) <obl pa <advmod je <aux Osolnikova <nsubj odgovorila >ccomp (, <punct da <mark formalnopravno <advmod to <nsubj sicer <advmod drži >punct ,) >conj (vendar <cc pa <advmod ocenjuje >ccomp (, <punct da <mark je >advmod (bolje >advcl (, <punct (kot >fixed pa >fixed da) <mark (na <case splošno) <obl znižajo >obj merila >parataxis (, <punct kar <nsubj vsekakor <advmod ne <advmod bi <aux prispevalo >obl (k <case boljšemu <amod delovanju >nmod vlade)))) >csubj (, <punct da <mark so >obl (pri <case napredovanju) >nsubj (nekatere <det izjeme)))) >punct .	1	4.6	ABCDEFGHNOPQRSTUVWXYZABCDIJKLMEFGHIJKLMNOPQRSTUVDEFGHIJKLMNOPQRSTUWXYZABCV	74	odgovorila	A[Na] B[vprašanje]C[,] D[ali] E[ne] F[bi] G[bilo] H[bolje]I[,] J[da] K[vlada] L[uredbo] M[spremeni]N[,] O[kot] P[pa] Q[da] R[jo] S[(]T[vključno] U[ali] V[na] W[čelu] X[z] Y[uradom] Z[predsednika] A[vlade]B[)] C[krši]D[,] E[pa] F[je] G[Osolnikova] H[odgovorila]I[,] J[da] K[formalnopravno] L[to] M[sicer] N[drži]O[,] P[vendar] Q[pa] R[ocenjuje]S[,] T[da] U[je] V[bolje]W[,] X[da] Y[so] Z[pri] A[napredovanju] B[nekatere] C[izjeme]D[,] E[kot] F[pa] G[da] H[na] I[splošno] J[znižajo] K[merila]L[,] M[kar] N[vsekakor] O[ne] P[bi] Q[prispevalo] R[k] S[boljšemu] T[delovanju] U[vlade]V[.] 	3.80	2.48	10	10.00	3.00	3.33
(Na <case vprašanje >acl (, <punct kako <advmod je <cop mogoče >csubj (, <punct da <mark so <aux policisti <nsubj imeli >obj ((le <advmod nekaj) <det blata) >obl (na <case uniformi) >parataxis (, <punct Marko <nsubj pa <advmod je <aux dobil >obj (pretres >nmod možganov))) >punct ,)) <obl je <aux odgovoril >parataxis (: <punct » <punct Ponudili >aux smo >iobj mu >obj (zdravstveno <amod pomoč) >conj (, <punct a <cc je <aux rekel >ccomp (, <punct da <mark se <expl bo <aux (o <case tem >acl (, <punct ali <mark je <cop poškodovan >punct ,)) <obl odločil >obl (po <case posvetu >nmod (z <case odvetnikom)))) >punct .)	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRSTUVWXYZAB	54	odgovoril	A[Na] B[vprašanje]C[,] D[kako] E[je] F[mogoče]G[,] H[da] I[so] J[policisti] K[imeli] L[le] M[nekaj] N[blata] O[na] P[uniformi]Q[,] R[Marko] S[pa] T[je] U[dobil] V[pretres] W[možganov]X[,] Y[je] Z[odgovoril]A[:] B[»]C[Ponudili] D[smo] E[mu] F[zdravstveno] G[pomoč]H[,] I[a] J[je] K[rekel]L[,] M[da] N[se] O[bo] P[o] Q[tem]R[,] S[ali] T[je] U[poškodovan]V[,] W[odločil] X[po] Y[posvetu] Z[z] A[odvetnikom]B[.] 	3.67	2.20	7	8.00	4.00	2.00
(Na <case vročem) <obl mešamo >advcl (, <punct da <mark se <expl osušijo) >punct .	1	4.6	ABCDEFGH	8	mešamo	A[Na] B[vročem] C[mešamo]D[,] E[da] F[se] G[osušijo]H[.] 	1.80	0.77	3	2.00	1.00	2.00
(Na <case vsak <det način) <obl sem <aux hotel >ccomp (, <punct da <mark bi <aux me <obj deklica <nsubj opazila >parataxis (, <punct da <mark bi <aux vedela >ccomp (, <punct da <mark sem <cop glavni >conj (, <punct da <mark sem <aux bil >advmod (najmanj <advmod tisočkrat) >obl (v <case kinu)) >conj (in <cc da <mark bom <aux nekoč <advmod delal >obj filme)))) >punct …	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGH	34	hotel	A[Na] B[vsak] C[način] D[sem] E[hotel]F[,] G[da] H[bi] I[me] J[deklica] K[opazila]L[,] M[da] N[bi] O[vedela]P[,] Q[da] R[sem] S[glavni]T[,] U[da] V[sem] W[bil] X[najmanj] Y[tisočkrat] Z[v] A[kinu] B[in] C[da] D[bom] E[nekoč] F[delal] G[filme]H[…] 	2.68	1.49	7	6.00	4.00	1.50
(Na <case vse <det ravni) <obl so <aux uvedli >advmod tudi >obj (sistem >nmod planiranja >conj (ter <cc sestanke >nmod (z <case delavci) >acl (, <punct kjer <mark se <obj seznanijo >obl (s <case cilji >conj (in <cc s <case svojo <det vlogo >nmod (pri <case tem)))))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXY	25	uvedli	A[Na] B[vse] C[ravni] D[so] E[uvedli] F[tudi] G[sistem] H[planiranja] I[ter] J[sestanke] K[z] L[delavci]M[,] N[kjer] O[se] P[seznanijo] Q[s] R[cilji] S[in] T[s] U[svojo] V[vlogo] W[pri] X[tem]Y[.] 	1.91	1.70	8	2.00	1.00	2.00
(Na <case vseh <det delovnih <amod mestih) <obl se <expl (zavarovalna <amod doba) <nsubj šteje >advcl ((tako >punct , >fixed da) <mark se <expl (za <case vsakih <det 12 <nummod mesecev >nmod dela) <obl šteje >nsubj (16 <nummod mesecev >nmod (pokojninske <amod dobe))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVW	23	šteje	A[Na] B[vseh] C[delovnih] D[mestih] E[se] F[zavarovalna] G[doba] H[šteje] I[tako]J[,] K[da] L[se] M[za] N[vsakih] O[12] P[mesecev] Q[dela] R[šteje] S[16] T[mesecev] U[pokojninske] V[dobe]W[.] 	2.85	1.49	5	2.00	1.00	2.00
(Na <case vseh <det ustnih <amod koščicah) <obl ima >obj (majhne <amod zobce) >parataxis (, <punct (pod <case čeljustmi) <orphan pa <orphan koščeno <amod ploščo) >punct .	1	4.6	ABCDEFGHIJKLMN	14	ima	A[Na] B[vseh] C[ustnih] D[koščicah] E[ima] F[majhne] G[zobce]H[,] I[pod] J[čeljustmi] K[pa] L[koščeno] M[ploščo]N[.] 	2.27	1.18	4	1.00	1.00	1.00
"(Na <case zadnjem <amod mitingu >nmod (letošnje <amod atletske <amod lige)) <obl so <aux (v <case Berlinu) <obl (vsi <det štirje <nummod kandidati) <nsubj postali >xcomp ("" <punct zlati >punct "")"	1	4.6	ABCDEFGHIJKLMNOP	16	postali	"A[Na] B[zadnjem] C[mitingu] D[letošnje] E[atletske] F[lige] G[so] H[v] I[Berlinu] J[vsi] K[štirje] L[kandidati] M[postali] N[""]O[zlati]P[""] "	2.77	1.55	4	1.00	1.00	1.00
(Na <case zadnji <amod hrbtni <amod bodici) <obl ima >obj (veliko <amod črno <amod piko) >punct .	1	4.6	ABCDEFGHI	9	ima	A[Na] B[zadnji] C[hrbtni] D[bodici] E[ima] F[veliko] G[črno] H[piko]I[.] 	1.86	1.16	3	1.00	1.00	1.00
(Na <case zadnji <amod tekmi >nmod (Salzburga >nmod (v <case gosteh)) >nmod (proti <case Riedu) >acl (, <punct kjer <mark so <aux bili <cop ((rdeči >conj (in <cc vijoličasti)) <amod privrženci >nmod Salzburga) <nsubj (med <case seboj) <nmod ločeni >punct ,)) <obl je <aux prišlo >obl (do <case medsebojnega <amod obračunavanja) >parataxis (, <punct vijoličasti <nsubj so <aux (s <case prižiganjem >conj (in <cc metanjem >nmod bakel)) <obl povzročili >obj (tudi <advmod prekinitev <nmod tekme)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLM	39	prišlo	A[Na] B[zadnji] C[tekmi] D[Salzburga] E[v] F[gosteh] G[proti] H[Riedu]I[,] J[kjer] K[so] L[bili] M[rdeči] N[in] O[vijoličasti] P[privrženci] Q[Salzburga] R[med] S[seboj] T[ločeni]U[,] V[je] W[prišlo] X[do] Y[medsebojnega] Z[obračunavanja]A[,] B[vijoličasti] C[so] D[s] E[prižiganjem] F[in] G[metanjem] H[bakel] I[povzročili] J[tudi] K[prekinitev] L[tekme]M[.] 	4.03	1.94	7	3.00	2.00	1.50
(Na <case zahodu) <obl junak <nsubj ubije >obj zmaja >conj (in <cc (iz <case njegovega <det telesa) <obl zgradi >obj svet) >punct .	1	4.6	ABCDEFGHIJKL	12	ubije	A[Na] B[zahodu] C[junak] D[ubije] E[zmaja] F[in] G[iz] H[njegovega] I[telesa] J[zgradi] K[svet]L[.] 	2.00	1.15	4	2.00	2.00	1.00
(Na <case zaslonu) <obl je <aux bila >nsubj (panorama >nmod Manhattna) >punct .	1	4.6	ABCDEFG	7	bila	A[Na] B[zaslonu] C[je] D[bila] E[panorama] F[Manhattna]G[.] 	1.20	1.32	3	1.00	1.00	1.00
(Na <case začetku >nmod (20. <nummod stoletja)) <obl je <aux (psihiater >nmod (Kurt >flat Schneider)) <nsubj določil >obj (oblike >nmod (psihotičnih <amod simptomov) >acl (, <punct ki <mark so <aux (po <case njegovem <det mnenju) <obl ločile >obj shizofrenijo >obl (od <case drugih <amod psihotičnih <amod motenj))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXY	25	določil	A[Na] B[začetku] C[20.] D[stoletja] E[je] F[psihiater] G[Kurt] H[Schneider] I[določil] J[oblike] K[psihotičnih] L[simptomov]M[,] N[ki] O[so] P[po] Q[njegovem] R[mnenju] S[ločile] T[shizofrenijo] U[od] V[drugih] W[psihotičnih] X[motenj]Y[.] 	2.64	1.67	5	2.00	1.00	2.00
(Na <case začetku >nmod (leta >nummod 2002)) <obl je <aux (Svet >nmod EUA) <nsubj sprejel >obj ((t. >fixed i.) <amod ' <punct graške <amod teme >punct ' >acl (, <punct (o <case katerih) <obl naj <advmod bi <aux temeljiteje <advmod razpravljali >obl (še <advmod na <case kasnejših <amod sestankih >nmod Sveta >conj (in <cc na <case konferencah >nmod zveze)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDE	31	sprejel	A[Na] B[začetku] C[leta] D[2002] E[je] F[Svet] G[EUA] H[sprejel] I[t.]J[i.] K[']L[graške] M[teme]N[']O[,] P[o] Q[katerih] R[naj] S[bi] T[temeljiteje] U[razpravljali] V[še] W[na] X[kasnejših] Y[sestankih] Z[Sveta] A[in] B[na] C[konferencah] D[zveze]E[.] 	2.46	1.77	6	2.00	1.00	2.00
(Na <case začetku) <obl ima >obj (podatke >nmod (o <case poziciji >nmod osebe >appos (( <punct naslovna >conj (, <punct glavna) >conj (, <punct stranska) >conj (, <punct pripovedovalec) >punct )))) >parataxis (, <punct nato <orphan o <case poklicu >parataxis (( <punct (nekateri >nmod (med <case njimi)) <nsubj imajo >obj (tudi <advmod svoje <det geslo >appos (, <punct (na >fixed primer) <cc učitelji >conj (, <punct duhovniki))) >punct . >punct . >punct . >punct )) >conj (, <punct statusu) >conj (, <punct starosti)) >punct . >punct . >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQRS	45	ima	A[Na] B[začetku] C[ima] D[podatke] E[o] F[poziciji] G[osebe] H[(]I[naslovna]J[,] K[glavna]L[,] M[stranska]N[,] O[pripovedovalec]P[)]Q[,] R[nato] S[o] T[poklicu] U[(]V[nekateri] W[med] X[njimi] Y[imajo] Z[tudi] A[svoje] B[geslo]C[,] D[na] E[primer] F[učitelji]G[,] H[duhovniki]I[.]J[.]K[.] L[)]M[,] N[statusu]O[,] P[starosti]Q[.]R[.]S[.] 	4.23	0.74	7	2.00	2.00	1.00
(Na <case zboru) <obl je <aux bilo <cop zelo <advmod vroče >punct .	1	4.6	ABCDEFG	7	vroče	A[Na] B[zboru] C[je] D[bilo] E[zelo] F[vroče]G[.] 	2.20	0.91	3	1.00	1.00	1.00
(Na <case združitev) <obl je <cop pripravljen >advcl (, <punct (še >fixed preden) <mark se <obj sleče) >punct .	1	4.6	ABCDEFGHIJ	10	pripravljen	A[Na] B[združitev] C[je] D[pripravljen]E[,] F[še] G[preden] H[se] I[sleče]J[.] 	2.00	0.97	4	2.00	1.00	2.00
(Na <case zemljevidu) <obl so <cop označene >nsubj (nove <amod regije >acl (, <punct ki <mark izpolnjujejo >obj (pogoje >nmod (za <case programsko <amod obdobje >nummod (2007 >conj (– <punct 2013))) >nmod (Evropskega <amod socialnega <amod sklada)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRST	20	označene	A[Na] B[zemljevidu] C[so] D[označene] E[nove] F[regije]G[,] H[ki] I[izpolnjujejo] J[pogoje] K[za] L[programsko] M[obdobje] N[2007]O[–]P[2013] Q[Evropskega] R[socialnega] S[sklada]T[.] 	2.06	1.36	8	2.00	1.00	2.00
(Na <case zgornji <amod strani) <obl je <cop modra >parataxis (, <punct (na <case spodnji) <obl pa <advmod zelena) >punct .	1	4.6	ABCDEFGHIJK	11	modra	A[Na] B[zgornji] C[strani] D[je] E[modra]F[,] G[na] H[spodnji] I[pa] J[zelena]K[.] 	1.88	1.22	4	1.00	1.00	1.00
(Na <case zunaj) <advmod zgradba <nsubj ni <cop posebno <advmod privlačna >conj (, <punct toda <cc obiskovalce <obj privablja >obl (predvsem <advmod zaradi <case neke <det svoje <det posebnosti)) >punct .	1	4.6	ABCDEFGHIJKLMNOP	16	privlačna	A[Na] B[zunaj] C[zgradba] D[ni] E[posebno] F[privlačna]G[,] H[toda] I[obiskovalce] J[privablja] K[predvsem] L[zaradi] M[neke] N[svoje] O[posebnosti]P[.] 	2.54	1.25	4	2.00	2.00	1.00
(Na <case » <punct zabavi >nmod (mokrih <amod majic) >punct « >nmod (za <case deskarje) >nmod (v <case Tako'su)) <obl tako <advmod ni <aux bilo >nsubj tekmovalcev >parataxis (, <punct začuda <advmod so <aux manjkala >nsubj (tudi <advmod dekleta >nmod (z <case mokrimi <amod majicami))) >conj (, <punct toda <cc (trenerji >conj (, <punct serviserji) >conj (in <cc svobodnjaki >appos (( <punct deskarji >nmod (v <case prostem <amod slogu) >punct )))) <nsubj so <aux se <expl (kljub <case temu) <obl dobro <advmod zabavali) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNOPQ	43	bilo	A[Na] B[»]C[zabavi] D[mokrih] E[majic]F[«] G[za] H[deskarje] I[v] J[Tako'su] K[tako] L[ni] M[bilo] N[tekmovalcev]O[,] P[začuda] Q[so] R[manjkala] S[tudi] T[dekleta] U[z] V[mokrimi] W[majicami]X[,] Y[toda] Z[trenerji]A[,] B[serviserji] C[in] D[svobodnjaki] E[(]F[deskarji] G[v] H[prostem] I[slogu]J[)] K[so] L[se] M[kljub] N[temu] O[dobro] P[zabavali]Q[.] 	4.12	1.63	7	3.00	3.00	1.00
(Na <case Čatežu) <obl bi <aux prišlo >obl (celo <advmod do <case primera >acl (, <punct ko <mark bi <aux smelo >xcomp (točiti >obj (odprti <amod cviček) >nsubj (le <advmod osebje >nmod ((višje <advmod ležeče) <amod gostilne >nmod (sredi <case naselja))) >advcl (, <punct (medtem >fixed ko) <mark bi <aux morali >xcomp ((pri <case njihovih <det sosedih >nmod (na <case obrežju >nmod (reke >nmod Save))) <obl kupovati >obj (stekleničeno <amod vino)))))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJK	37	prišlo	A[Na] B[Čatežu] C[bi] D[prišlo] E[celo] F[do] G[primera]H[,] I[ko] J[bi] K[smelo] L[točiti] M[odprti] N[cviček] O[le] P[osebje] Q[višje] R[ležeče] S[gostilne] T[sredi] U[naselja]V[,] W[medtem] X[ko] Y[bi] Z[morali] A[pri] B[njihovih] C[sosedih] D[na] E[obrežju] F[reke] G[Save] H[kupovati] I[stekleničeno] J[vino]K[.] 	2.33	1.59	10	5.00	1.00	5.00
(Na <case čem) <obl se <expl je <aux spotaknil >punct ?	1	4.6	ABCDEF	6	spotaknil	A[Na] B[čem] C[se] D[je] E[spotaknil]F[?] 	1.75	0.94	3	1.00	1.00	1.00
(Na <case četrtkovi <amod seji >nmod (občinskega <amod sveta) >acl (, <punct (na <case kateri) <obl so <aux sicer <advmod pričakovali >obj (tudi <advmod ministra >nmod (Rada >flat Bohinca)) >punct ,)) <obl je <aux bilo >obl (med <case razlogi >acl (, <punct zakaj <advmod da <mark so >obl (proti <case novim <amod nastanitvam) >punct ,)) >csubj (slišati >advmod tudi >ccomp (, <punct da <mark imajo >obl (s <case tujci) >advmod pač >obj ((» <punct bogate >punct «) <amod izkušnje))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJKLMNO	41	bilo	A[Na] B[četrtkovi] C[seji] D[občinskega] E[sveta]F[,] G[na] H[kateri] I[so] J[sicer] K[pričakovali] L[tudi] M[ministra] N[Rada] O[Bohinca]P[,] Q[je] R[bilo] S[med] T[razlogi]U[,] V[zakaj] W[da] X[so] Y[proti] Z[novim] A[nastanitvam]B[,] C[slišati] D[tudi]E[,] F[da] G[imajo] H[s] I[tujci] J[pač] K[»]L[bogate]M[«] N[izkušnje]O[.] 	2.81	2.14	6	5.00	1.00	5.00
(Na <case žalost) <obl ni <cop dosti <advmod boljša >nsubj (Nataša >flat Briški >acl (, <punct ki <mark (na <case Gajbi) <obl komentira >obj (letošnji <amod Wimbeldon))) >punct .	1	4.6	ABCDEFGHIJKLMNO	15	boljša	A[Na] B[žalost] C[ni] D[dosti] E[boljša] F[Nataša] G[Briški]H[,] I[ki] J[na] K[Gajbi] L[komentira] M[letošnji] N[Wimbeldon]O[.] 	1.92	1.40	5	2.00	1.00	2.00
(Na <case žalost) <obl pa <advmod (v <case Atenah) <obl očitno <advmod ne <advmod vedo >obj (tega >acl (, <punct da <mark so <cop mačke <nsubj (v <case Rimu) <obl zaščitene >obl (z <case mestnim <amod odlokom) >conj (in <cc da <mark bi <aux lahko <advmod (tudi <advmod oni) <nsubj tako <advmod rešili >obj (ta <det svoj <det » <punct problem >punct «)))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFG	33	vedo	A[Na] B[žalost] C[pa] D[v] E[Atenah] F[očitno] G[ne] H[vedo] I[tega]J[,] K[da] L[so] M[mačke] N[v] O[Rimu] P[zaščitene] Q[z] R[mestnim] S[odlokom] T[in] U[da] V[bi] W[lahko] X[tudi] Y[oni] Z[tako] A[rešili] B[ta] C[svoj] D[»]E[problem]F[«]G[.] 	3.32	1.51	6	3.00	2.00	1.50
(Na <case žalost) <obl so <cop (te <det teme) <nsubj precej <advmod obsežne >conj (in <cc presegajo >obj (obseg >nmod (te <det knjige))) >punct .	1	4.6	ABCDEFGHIJKLM	13	obsežne	A[Na] B[žalost] C[so] D[te] E[teme] F[precej] G[obsežne] H[in] I[presegajo] J[obseg] K[te] L[knjige]M[.] 	1.91	1.53	5	2.00	2.00	1.00
(Na >fixed primer >punct ,) <advmod (skupine >acl (, <punct ki <mark izvirajo >obl (iz <case (vzhodne >conj (in <cc južne)) <amod Evrope) >punct ,)) <nsubj so <aux se <expl (po <case teh <det merilih) <obl običajno <advmod slabše <advmod odrezale >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUV	22	odrezale	A[Na] B[primer]C[,] D[skupine]E[,] F[ki] G[izvirajo] H[iz] I[vzhodne] J[in] K[južne] L[Evrope]M[,] N[so] O[se] P[po] Q[teh] R[merilih] S[običajno] T[slabše] U[odrezale]V[.] 	4.65	1.40	7	2.00	1.00	2.00
(Na >fixed primer) <advmod (narečja >nmod (jugovzhodne <amod Francije) >conj (in <cc italijanska <amod narečja >nmod (na <case drugi <amod strani >nmod meje))) <nsubj so <cop si <expl tako <advmod podobna >advcl (, <punct da <mark bi <aux lahko <advmod spadala >obl (v <case isti <det jezik)) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXY	25	podobna	A[Na] B[primer] C[narečja] D[jugovzhodne] E[Francije] F[in] G[italijanska] H[narečja] I[na] J[drugi] K[strani] L[meje] M[so] N[si] O[tako] P[podobna]Q[,] R[da] S[bi] T[lahko] U[spadala] V[v] W[isti] X[jezik]Y[.] 	3.18	1.77	5	2.00	1.00	2.00
(Na >fixed primer) <advmod (uspešne >conj (in <cc (že <advmod vsepovsod) <advmod navzoče)) <amod finske >conj (in <cc (v <case zadnjem <amod obdobju) <obl (- <punct (pred <case leti) <orphan z <case Miko >flat Kojonkoskim >parataxis (, <punct zdaj <orphan pa <cc s <case Hannujem >flat Lepistöjem) >punct -) <parataxis ((z <case njo) <nmod že <advmod oplemenitene) <amod avstrijske) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDE	31	finske	A[Na] B[primer] C[uspešne] D[in] E[že] F[vsepovsod] G[navzoče] H[finske] I[in] J[v] K[zadnjem] L[obdobju] M[-] N[pred] O[leti] P[z] Q[Miko] R[Kojonkoskim]S[,] T[zdaj] U[pa] V[s] W[Hannujem] X[Lepistöjem] Y[-] Z[z] A[njo] B[že] C[oplemenitene] D[avstrijske]E[.] 	4.69	1.12	5	1.00	1.00	1.00
(Na >fixed primer) <advmod (zdravila >nmod (proti <case revmatizmu >conj (in <cc strjevanju >nmod krvi))) <nsubj so <cop tipičen <amod primer >nmod (z <case zapleti >nmod (na <case področju >nmod (prebavne <amod cevi)) >acl (, <punct ki <mark lahko <advmod delajo >obj (hude <amod težave))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWX	24	primer	A[Na] B[primer] C[zdravila] D[proti] E[revmatizmu] F[in] G[strjevanju] H[krvi] I[so] J[tipičen] K[primer] L[z] M[zapleti] N[na] O[področju] P[prebavne] Q[cevi]R[,] S[ki] T[lahko] U[delajo] V[hude] W[težave]X[.] 	2.48	1.81	5	2.00	1.00	2.00
(Na >fixed primer) <cc tegale >parataxis (: <punct (Trgovec >nmod (s <case konji)) <nsubj (svoji <det stranki) <iobj priporoča >obj (jahalnega <amod konja) >parataxis (: <punct » <punct (Če <mark boste <aux vzeli >obj (tega <det konja) >conj (in <cc ga <obj boste <aux zajahali >obl (ob <case štirih >advmod zjutraj)) >punct ,) <advcl boste >obl (ob <case pol <det sedmih) >obl (že <advmod v <case Bratislavi) >punct . >punct «))	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEFGHIJ	36	tegale	A[Na] B[primer] C[tegale]D[:] E[Trgovec] F[s] G[konji] H[svoji] I[stranki] J[priporoča] K[jahalnega] L[konja]M[:] N[»]O[Če] P[boste] Q[vzeli] R[tega] S[konja] T[in] U[ga] V[boste] W[zajahali] X[ob] Y[štirih] Z[zjutraj]A[,] B[boste] C[ob] D[pol] E[sedmih] F[že] G[v] H[Bratislavi]I[.] J[«] 	3.07	1.11	7	5.00	4.00	1.25
(Na >flat Na) <nsubj ful <advmod sovraž >obj (tist <det plac) >advcl (, <punct čeprav <mark ma >obj ((totalno <advmod dober) <amod stanvanje)) >punct .	1	4.6	ABCDEFGHIJKLM	13	sovraž	A[Na] B[Na] C[ful] D[sovraž] E[tist] F[plac]G[,] H[čeprav] I[ma] J[totalno] K[dober] L[stanvanje]M[.] 	1.90	1.20	5	2.00	1.00	2.00
(Nace >flat Bratina) <nsubj je <aux bil <cop nedoumljiv >punct .	1	4.6	ABCDEF	6	nedoumljiv	A[Nace] B[Bratina] C[je] D[bil] E[nedoumljiv]F[.] 	2.00	0.80	3	1.00	1.00	1.00
"(Naci <nmod fani) <nsubj (prek <case DVU) <obl lahko <advmod naročijo >obj (priljubljene <amod našitke >conj (, <punct CD >nmod (z <case nemško <amod himno >conj (in <cc drugimi <amod domoljubnimi <amod pesmimi))) >conj (ter <cc videokaseto >nmod (s <case posnetki >nmod (stotih <nummod "" <punct velikih <amod prevar >punct "" >nmod (z <case nemških <amod TV <nmod - <punct zaslonov))))) >punct ."	1	4.6	ABCDEFGHIJKLMNOPQRSTUVWXYZABCDEF	32	naročijo	"A[Naci] B[fani] C[prek] D[DVU] E[lahko] F[naročijo] G[priljubljene] H[našitke]I[,] J[CD] K[z] L[nemško] M[himno] N[in] O[drugimi] P[domoljubnimi] Q[pesmimi] R[ter] S[videokaseto] T[s] U[posnetki] V[stotih] W[""]X[velikih] Y[prevar]Z[""] A[z] B[nemških] C[TV]D[-]E[zaslonov]F[.] "	2.62	1.56	7	1.00	1.00	1.00
(Nacionalni <amod program) <nsubj predvideva >obj (tudi <advmod priprave >nmod programov >nmod (na <case lokalni <amod ravni)) >punct .	1	4.6	ABCDEFGHIJ	10	predvideva	A[Nacionalni] B[program] C[predvideva] D[tudi] E[priprave] F[programov] G[na] H[lokalni] I[ravni]J[.] 	1.62	1.10	4	1.00	1.00	1.00
(Nad <case nama) <obl se <expl sklanja >nsubj (stena >nmod (s <case previsnimi <amod odlomi)) >punct .	1	4.6	ABCDEFGHI	9	sklanja	A[Nad] B[nama] C[se] D[sklanja] E[stena] F[s] G[previsnimi] H[odlomi]I[.] 	1.57	1.21	4	1.00	1.00	1.00
(Nad <case njim) <obl pa <advmod vodijo >nsubj (še <advmod (kar <advmod dobre) <amod razčlembe) >obl (na <case rob >nmod (le <advmod kakih <det deset <nummod metrov >nmod (pod <case vrhom >nmod stolpa))) >punct .	1	4.6	ABCDEFGHIJKLMNOPQR	18	vodijo	A[Nad] B[njim] C[pa] D[vodijo] E[še] F[kar] G[dobre] H[razčlembe] I[na] J[rob] K[le] L[kakih] M[deset] N[metrov] O[pod] P[vrhom] Q[stolpa]R[.] 	2.12	1.33	5	1.00	1.00	1.00
(Nad <case vojsko) <obl se <expl je <aux zgrnila >nsubj noč >punct .	1	4.6	ABCDEFG	7	zgrnila	A[Nad] B[vojsko] C[se] D[je] E[zgrnila] F[noč]G[.] 	1.60	1.14	3	1.00	1.00	1.00
(Nad <case vrhovi >nmod borovcev) <obl sem <aux strmel >obl (v <case brezno) >punct .	1	4.6	ABCDEFGH	8	strmel	A[Nad] B[vrhovi] C[borovcev] D[sem] E[strmel] F[v] G[brezno]H[.] 	1.50	1.30	3	1.00	1.00	1.00
